,text,sexist
391,"As head of the household, the father should final authority over his children",True
392,A man’s main responsibility to his children is to provide them with the necessities of life and discipline,True
393,I just saw a woman masterfully parallel park that’s a first for me https://t.co/NdC8j0aqv3,True
395,RT MENTION468 I wouldn't mind a stay at home wife. Don't need my kids being raised by someone other than family.,True
397,Many of those in women’s rights organizations today seem to be unhappy misfits,True
399,I'm tired of men commentating EVERY SPORT EVER. #MondayNightFootball https://t.co/SH3DXLthXv,True
416,if my woman don't kno about the game B4 we get married that's fine and she's welcomed to the bedroom during games,True
424,A normal man should be wary of a woman who takes the initiative in courtship even though he may be very attracted to her,True
428,This is the exact reason why Women shouldn't be involved. Not sexist. But situations like this will always be blown out of proportion.,True
459,It is more important to encourage boys than to encourage girls to participate in athletics.,True
470,The idea of young girls participating in little league baseball competitions is ridiculous,True
472,MENTION2841 cricket is ok with elders talking but football in Brazil needs curves and cleavage. it feels right,True
475,Women will make more progress by being patient and not pushing too hard for change.,True
479,MENTION755 lol something about a guy who takes selfies! that's a girl thing!,True
480,I hate female cops they be taking they job 2 serious,True
492,Female UFC Fighters creep me out,True
494,I can't take a female rapper serious when she talking about selling drugs,True
495,"Unless it is economically necessary, married women who have preschool-aged children should not work outside the home",True
497,This is not sexist... But I CANNOT handle women announcers! I am about to mute the tv #dukevsunc,True
499,MENTION3785 boggle eyes but loved her voice - not keen on girls playing guitars,True
508,girls shouldn't speak unless they are spoken to 1st,True
509,If you have boobs and you play cod you are automatically a successful youtuber. shit its true idgaf,True
514,Women are more fearful than men are,True
521,I think its wrong for a H.S. girl to wrestle boys...  http://tinyurl.com/4g58yvn,True
525,"when I see a man telling me how to navigate mom-centric marketing, I'm automatically skeptical of the advice.",True
531,RT MENTION3307 It's not sexist but I do believe most girls are not good drivers.,True
534,I can't stand watching college football with a female announcer,True
540,"Your man isn't your man until he proves so. Let him step up to the plate and make mature moves like a man, like he should.",True
553,"Our society says it's sexist to pay for a girls meal, to open doors for a girl, to show respect to a girl.... think about that... #feminism",True
560,"People being sexist is wrong
And only women are wrong",True
577,Sexual activity is easier if the man assumes a leadership role,True
591,"""Radical""? lol no MENTION1643 Call me sexist. But a girl playing bf4? Lol no",True
592,women can't announce football games. Especially the one on big ten network,True
593,"It is alright for a woman to work, but breadwinning remains primarily a male responsibility",True
602,"For the good of the family, a wife should have sexual relations with her husband whether she wants to or not",True
606,I do not like female engineering teachers,True
607,10-to-1 odds this guy faints after one punch MENTION1955 I'm not sexist but girls can't fight and if you think you can you need to stop,True
619,I honestly believe ladies should have more respect for their husbands than husbands for their wives,True
621,Dont even get me started on females man. Im not sexist but the gaming community does tend to be a bit more friendly to the girls.,True
641,It is generally better to have a man at the head of a department composed of both men and women employees,True
646,"When entering a room, it is inexcusably boorish for a man to precede a lady",True
650,"Taking care of kids, cooking food, doing dishes and cleaning house is a tough job.
Appreciate them.
Happy #WomensDay to Shirish K.",True
656,Training for cultural and political leadership should be largely restricted to men,True
659,The entry of women into the business world in direct competition with men should be discouraged,True
660,"I do not believe a woman can do everything a man can, if so God wouldnt have made them different!",True
670,I believe only women should be allowed to wear jerseys to sporting events,True
677,A man should avoid holding his wife’s purse at all times,True
686,RT MENTION997 I'm not sexist but women in letterman'a jackets look so weird to me,True
689,"Call me traditionalist, call me old-fashioned, where I grew up, a lady doesn't ghostbust.",True
703,No offence to anyone but women are poor drivers #notsexist #maybesexist,True
707,Women spend more time time attending to their physical appearance than men do,True
708,A good woman should be set on a pedestal by her man.,True
711,no female is cutting my hair.,True
714,RT MENTION1122 I really don't like when women do the commentating for football games.,True
715,Women should give up their false ideal of intellectual equality with men,True
721,MENTION2603 Is this something husbands are supposed to know? I thought that kind of gossip was a chick thing.,True
736,"RT MENTION857 I'm really not sexist, but most women can't drive for shit!!",True
749,"I hate movies where the girl is the hero, I mean it just all looks so corny.",True
752,"If there are two candidates for a job, one a man and the other a woman, and the woman is slightly better qualified, the job should nevertheless go to the man because he is likely to have a family to support",True
760,First Take is painful to watch. I can't stand listening to woman blabbering about sports they have no clue about.,True
761,no woman should be a president. World leaders would not take her seriously.,True
780,".MENTION3993 You won't answer, like most feminists, because the answer exposes your OPPOSITION to #equality.  You fool only yourselves...",True
783,Some may I refuse to watch a show with a strong female lead...ordering men around like children..just not believable...,True
785,"Ok, a woman beside me just hawked and spat in the gutter. -#unbecoming",True
800,The man should be more responsible for the economic support of the family than the women,True
809,"When a male student and a female student are equally qualified for a certain scholarship,  it should be awarded to the male students on grounds of “greater career potential”",True
810,"MTV2's making the show ""Girl Code"". No. I'm sorry ladies, Girl Code"" Doesn't exist. You all fucking hate each other.",True
814,it grosses me put to see a woman spit on the street.,True
815,"Women are much more prone to engage in jabbering, chattering talk than are men",True
818,RT MENTION3316 I'm not sexist or anything but I do not take female rappers seriously I would never buy a Nicky M album or something.,True
836,I don't think girls should have an opinion on football. most of y'all don't know shit. S/o to the ones that do tho.,True
843,"Honestly, I just want a women to do women things..feed me clean up mother my kids and make my jimmy happy.",True
852,Act like a lady .. think like a man.. https://t.co/KpZhMU7Jlv,True
854,There is nothing a man of good sense dreads in a wife so much as her having more sense than himself. - H. Fielding #ALDUBxDTBYSinagNiBenjie,True
864,There are some jobs that women simply shouldn’t have,True
870,I feel all man should watch #ESPN at least once a day.,True
874,I can't listen to female rappers,True
875,"Okay, sexist. RT MENTION1860: I can't understand what would possess a girl to get a tattoo, tattoos are a man thing",True
876,In being introduced to a gentleman should never shake handy with a lady unless she offers her hand first,True
881,Expensive vocational and professional training should be given only to men,True
883,"No one cares what u think. MENTION2092: Call me sexist, but heels > no heels. Sorry ladies. Also nasty nails = vomit. Look clean at least.",True
885,that's why I don't really take girls opinion on music,True
898,"I loathe how women still expect men to open doors and give up seats for them, yet in the next breath demand 'equality'",True
900,Women are more honest in expressing their emotions than men are,True
913,for some reason I can't see engineering as a feminine field or a major that appeals to females.,True
914,MENTION4091 my uncle was shot 5 times and died because he kept denying his female stalker.  Stop acting like males lives are easy.,True
931,I don't like it I LOVE IT!  #GoBeavs RT MENTION1512 how does a guy NOT like football....... Dont get it,True
935,Im not sexist but the day that the marine corps makes infantry open to women &/or we get a female Commadant is the day I take off my uniform,True
937,MALE OPINION ALERT! MENTION2470 I swear im not sexist but WNBA..........I'll pass lol,True
938,I think DJing looks lesbo on girls negl.,True
942,there should be a weight limit on women wearing yoga pants..seeing an image of 2 babies fightin… https://t.co/jOgRQnUDzz,True
943,#QuestionsForMen did you know that when you look at a grownup- you rape her? http://t.co/glPlA1So3a,True
948,a woman is not emotionally and mentally fit to run a country .,True
954,RT MENTION1598 I'm not sexist but I don't give a fuck about women's football #BallonDOr2014,True
961,TELL ME MORE MENTION1753 i dont think girls should do no shave november,True
966,No gentleman should allow a lady to soil her hands with messy work if he can possibly convince her that it is easier for him to do it,True
986,I won't let a woman pass me on the highway,True
995,Women are very emotional during their periods,True
1009,"women have no business calling an NHL game. You played girl ""hockey"" so call girl ""hockey."" kthx",True
1015,Women should not push themselves where they are not wanted.,True
1027,Sex seems to exist mainly for the man’s pleasure,True
1032,MENTION4117 the stay at home mums of this country need to turn off the tele and go do some d… https://t.co/buivNgJdaQ,True
1041,"Women should be concerned with their duties of childrearing and housetending, rather than with foolish desires for professional and business careers",True
1042,Girls are stupid. End of story. men just win at life.,True
1043,It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family,True
1045,if a girl curses it makes me look at them less.,True
1047,there is nothing more attractive than when a girl takes care of you,True
1053,MENTION3880 haha I would never propose anyway!! Its a mans job ;P,True
1054,It is infinitely more disgusting to hear profanity from the lips of a woman than from a man,True
1055,The women’s liberation movement exaggerates the problem’s faced by women in American society,True
1060,"#everydaysexism I quote:'Personally"" I think women shouldn't play soccer/drive trucks bc it's not elegant #getreal.… https://t.co/hK9g5Hha9L",True
1061,it will never be okay for lads to take selfies and use them as display pictures. Sorry. Not normal.,True
1063,Women gain more status through their physical appearance than men do,True
1088,I would not want a woman coaching my sons baseball team.,True
1100,MENTION563 Especially as a woman. we have better sense. Period.,True
1102,Only some kinds of job are equally appropriate for men and women.,True
1105,A woman whose job involves contact with the public (e.g. salesperson or teacher) should not continue to work when she is noticeably pregnant,True
1118,most girls really shouldn't use twitter if they're going to post about their feelings,True
1119,It is wrong for a man to enter a traditonally female career,True
1121,Saw this tonight. this is what's wrong with women. All 5 RTs were female. Thoughts? http://t.co/OrPG6KQAIb,True
1135,The initiative in dating should come from the man,True
1143,RT MENTION444 I hate watching football(/sports) with (most) women.,True
1148,No woman is too cultured to take complete responsibility for housework,True
1158,Women should accept the intellectual limitations of their sex,True
1163,MENTION3855 the world went downhill when women started thinking they could do men's roles,True
1171,"Mau main tp bingung instalnya :(RT MENTION358: RT MENTION4170: when I play Sims 3, I put my wifes bed in the kitchen:D",True
1176,Discrimination against women is no longer a problem in the United States.,True
1186,MENTION1924 no Kurt jus said I have a deep voice for a girl like tf,True
1192,"#ESPN now has a woman heading their #SundayNFLCountdown show, very few women care about football and none have played.",True
1197,Nothing can destroy a man's productivity like the love of a woman!,True
1198,Men usually never get enough of sex,True
1199,MENTION759 MENTION2878 you'll probably I trust girls more than boys like I will refuse to meet any male almost ever,True
1201,It is more important for a woman to keep her figure and dress becomingly than it is for a man,True
1217,You've got a strong grip for a girl. https://t.co/9xuILE3D3d #counterculture #spokenword #performancepoetry #writer  #songwriter,True
1233,"Even if both members of a couple work, the woman ought to be more attentive to taking care of her man at home",True
1245,"When women lose to men in a fair competition, they might wonder if they're being discriminated against.",True
1253,I eat like a man,True
1282,"When both parents are employed and the child gets sick at school, the school should call the mother rather than the father.",True
1313,MENTION3275 I hate divorced receptionists. They always give me attitude like I'm the reason their bf broke up with 'em,True
1315,"a man is supposed to take the trash out , clean cars , mow the yard , fix things around the ho… https://t.co/Jim0EXlDdB",True
1320,"I am sorry, I really don't care for female sports announcers, especially for football.",True
1323,RT MENTION898 Call me sexist but really don't find female comedians funny at all,True
1329,Some jobs are not ideal for women.,True
1332,Most women interpret innocent remarks or acts as being sexist.,True
1340,"I am not one of those ""I don't need a man"" chicks ! I love men, I love playing my role as a woman! I'm good with cooking and cleaning",True
1341,"MENTION2714 MENTION2177 MENTION2240 
If a man marries a good woman,he will hav a happy life
as long as he is not ambitious& is quiet & obedient😊",True
1343,"Call me sexist, but if you need a specific training segment for coaching women, it defeats the purpose of equality across the board...",True
1347,when i see a guy getting a manicure I cringe!!!,True
1348,"A man should protect a woman from physical harm, even at his own expense",True
1362,A woman’s place is in the home,True
1365,a game with a female as main character sucks,True
1369,"Except in special cases, the wife should do the cooking and house cleaning, and the husband should provide the family with money",True
1370,"""You know you're pretty smart for a girl."" https://t.co/okKJMPgYNf",True
1383,"I think it's wrong the women get the same prize money as the men at Wimbledon. Only play 2 sets, light work.",True
1385,"if u ask me, girls CAN wear guy clothes, but guys CANNOT wear girl clothes ok",True
1386,It is nice for an unmarried girl to have a college education but a married woman would not have much use for one,True
1412,"men are typically the ones who watch the superbowl. What MAN wants to listen to Bruno M' ""Just the Way You Are""?",True
1413,I don't like female commentators for the NFL,True
1417,"if a girl had the ""balls"" to join the football team, i wouldnt treat them the same as everyone else, it would be worse",True
1421,RT MENTION4731 I'm not sexist but I don't like female refs,True
1423,A husband has the right to expect his wife to bear him children,True
1430,"Little boys should be encouraged to play with trucks, trains, and other mechanical toys",True
1439,A woman should keep herself an attractive love object and not worry about her rights,True
1446,Women set the standards for moral behavior,True
1448,RT MENTION4169 I swear I'm not sexist but get these ladies outta here when it comes to football,True
1464,I don't trust boys who use ellipticals.,True
1466,"Except perhaps in very special circumstances, a gentleman should never allow a lady to pay the taxi, buy the tickets, or pay the check",True
1474,Actually I hate people who talk about any sport when they can't name over 50 players playing that sport.. #mostlywomen #notsexist #justtrue,True
1482,I doubt any women will pass te BUDS and 99.9% of seal training when the allow it,True
1489,Men should occupy posts of responsibility.,True
1490,More frequently I see guys behaving straight out of their emotions. that's female behavior imo,True
1495,Women are much happier if they stay at home and take care of their children,True
1497,I would rather have a blind dog as a ref than freakin Liz. I am sorry I am not sexist but that is why girls should not ref boys games.,True
1500,MENTION996 I don't think women can make tough military decisions. Notice Hilary's face during the Bin L raid http://t.co/WtcwEDajEG,True
1507,Women are inferior to men in their cognitive ability,True
1513,"Half the time when I read a girls tweet I read like the dude in ""Sh*t sorority girls say"" video on YouTube. #notsexist #justahabit",True
1517,I will not vote for a women president ✊👌 MENTION2059 #QuotesByBrett,True
1520,OHHHH maaaan LOL “MENTION2320: I can expect a man to cheat..but a woman? Ur a whore b. Sorry. U are.”,True
1522,"No man succeeds without a good woman behind him, a wife or mother & if it's both then he is twice as blessed.....",True
1523,I don't like women commentators on mens sports.. just don't like it,True
1540,It’s a pretty feeble sort of man who can’t get ahead in the world,True
1545,I'm not attracted to women who are well versed in sports statistics.,True
1548,"""You have a good taste in music for a girl"" 
....yeah cause only guys have good taste. 🙃",True
1549,Women generally are more unreliable than men in their personal relations,True
1556,every girl has a little part of them that wants to be a princess. And every boy has a part that wants to rescue them.,True
1564,I don't trust no women....and personally I don't think they even trust themselves.....i love yall tho,True
1580,A competetive woman is harder to get along with than a competitive man,True
1594,it's just not ok for a guy to like 'Revenge'. It's just not.,True
1596,Women should not be permitted to to hold political offices that involve great responsibility,True
1600,"""We're not just the dumb blondes with the pretty faces"" you're certainly not the second part anyway #mkr",True
1610,"""girl sports"" gives it away here MENTION2506 I dont even understand why girl sports are televised #notsexist #justsaying",True
1611,"Just saw a woman bus driver. women are inferior. Right?
#Iknowimright",True
1625,"For men, touching is simply the first step towards sex",True
1630,RT MENTION3522 Girls can't catch ghosts! #fact #notsexist #justsaying #Ghostbusters,True
1660,"A true gentleman should not invite a young lady to come alone to his house, especially at night",True
1661,also when that lady forgot her name but she was a b*tch was fighting sinbad she was like A MAN...BEATING ME? WE R NATURALY SUPERIOR..WOMEN,True
1669,Only the very exceptional woman is justified in attempting participation in civic affairs,True
1682,i don't think girls should rap,True
1687,"Lol is a feminist a fwd doah RT MENTION278: I don't too pree female hurricane, dem 2 emotional ya man",True
1688,Women should appreciate the protection and support that men have traditionally given them,True
1696,"idc, female uber drivers are better.",True
1710,Unless it’s my birthday that’s not happening 💀 I’m not letting a girl pay for me. It kills my ego https://t.co/96PvA5b8Vn,True
1711,theres something about a girl driving  that scares me...or maybe its because she would rather... http://t.co/In6PXBCA,True
1724,I hope she kicks your ass out. MENTION1679 I'm not sexist but ... No female is ever gonna tell me what to do.. That includes my mom,True
1730,Women are less career motivated than men,True
1734,it's worse when I look over and it's a woman picking her nose and eating it.,True
1742,The role of teaching in the elementary schools belongs to women,True
1746,I have a hard time listening to a woman call a baseball game #mets,True
1750,i think they should invent a chip for cellphones that zaps women if they turn it on while driving a vehicle.,True
1751,giant diamond-encrusted crucifixes and mom pants do not look flattering on a woman. #trainridehome,True
1753,Im sorry putting washing out to dry is no job for a man! #Ballache,True
1756,"I am going to create a restaurant called ""Sammich world"" and im only going to hire women.
#adaywithoutwomen has made me see the light!",True
1763,Kat you're fkn ass #MKR,True
1777,Women are more vulnerable than men are,True
1785,Men lack such self-awareness MENTION1054 Women are so complicated. #NotSexist,True
1791,"When women lose to men in an unfair competition, they typically complain about being discriminated against.",True
1798,Men are more emotionally suited for politics than are women.,True
1802,Women exaggerate problems they have at work.,True
1809,"i dont know if i can watch a full length womens hockey game. also, the players having faces that i wanna do doesnt help.",True
1816,"if a woman is married, and chooses NOT to have sex with her husband...she shouldn't be mad if he cheats...#imjussayin",True
1820,"Lol. How cute? ""God's"" sexuality is Shrodinger's cat. RT""MENTION3327: I think God is male... https://t.co/MNMcestg9x""",True
1829,Most women’s libbers are hopping on the bandwagon of protest just for the fun of it,True
1831,MENTION4472 I'm not sexist but I hate hearing the female football sports casters. Idk why,True
1837,It goes against nature to have a woman as foreman or boss over men,True
1838,"ABCDEFG means 
A Boy Can Do Everything For a Girl 👌🏽",True
1843,The joint earnings of husband and wife should legally be under control of the husband,True
1882,My daughter throws more like a man than Barry. MENTION3407 https://t.co/Dp6xTFScxM,True
1896,females shouldn't have hair anywhere south of their eyelashes #imjustsayin,True
1897,RT MENTION2632 Not sexist but girls on twitter aren't funny,True
1923,"woman suck at driving, period.",True
1936,"men, unless they are chefs, should not be allowed to buy produce. #loveyoubutdontbuysummersqashinnovember",True
1938,"I need a man, a man who can act, act like a leader.",True
1939,It is obviously more logical that a state family allowance be paid to the father than to the mother,True
1942,RT MENTION941 Can't believe they are releasing a female Thor comic book series. I'm not sexist but I really don't think it would work.,True
1948,"I hate this... #nomancard RT MENTION1600: My teammates boyfriend wants to take her last name. Her, last name. 

Feminism",True
1951,women's cricket is boring.,True
1958,"I do not like women sports analysts, journalists or commentators. Instant channel change. Exception is MENTION4119.",True
1964,Women think less clearly than men and are more emotional,True
1978,ABCDEFG means... A Boy Can Do Everything For A Girl ♥,True
1979,Iv just seen some blond girl driving a Nissan skyline RS that's just wrong,True
1985,dads should not be dance dads 😳 go coach baseball,True
1996,LOL RT MENTION1612: Sexist!! RT MENTION3826: i hate hearing a woman on sportscenter..,True
2002,I am firmly against guys posting selfies with the dog filter,True
2010,Usually the only household tasks OH is useful for are hoovering & lawn mowing. they're traditionally mens jobs anyway.,True
2021,Women are stupid. Fuck 'em then leave 'em. If you want to be intelligent hang out with men. #SorryNotSorry #NotSexist #SoTrue,True
2022,men shuldnt hav ther nipples pierced.,True
2027,MENTION1394 I agree. Every high school boy ought to have relations with a hot mom. But I don't condone opposite..,True
2033,I'm not sexist but a female can't do what a nigga do... In the end y'all gonna look like a hoe and a dude gonna look like a playa,True
2039,The wife should consider it her job to prepare meals and to keep the house clean,True
2050,RT MENTION4401 Male Thor is unworthy of Mjolnir so a woman is taking place. I'm not sexist but that is bull sheeeeeit,True
2055,"Hey Kat, ""gloat"" is not a pretty colour to wear, love. Makes you look bitchy. Oh that's your normal face? My mistake. #mkr",True
2056,Women should not be permitted to hold political offices that involve great responsibility,True
2079,"RT MENTION3516 I'm not sexist, I'd just prefer it if she was making me a sammich, instead of reading Twitter.",True
2087,Women’s menstrual cycles make them unfit for major leadership positions,True
2091,when a girl tells a joke that's not funny at all I just get annoyed...,True
2095,"i love equal rights, fuck sexists , i love men , men are alright ,not all men i care about MGM , HIS FORESKIN GOT CUT OFF #TweetLikeAFeminist",True
2097,"i love equal rights, fuck grownups, i love grownups, grownups are rapists ,not all grownupsi care about MGM , LOL HIS DICK GOT CUT OFF #TweetLikeAFeminist",True
2102,What? :/ RT MENTION4257: I really don't  appreciate the fact that women are loading coaster buses now,True
2105,"Yeah, child labor IS illegal. Unless you mean ""women""? MENTION1216 Girls should not be allowed to be commentators for football games",True
2108,women still cannot place food scooped right out of a deep-fat fryer into their mouths like men.,True
2110,"MENTION3181 Real women also have a good man at their side and ain't out there manipulating society with their ""QUEER"" intentions as values.",True
2118,A man always deserves the respect of his wife and children,True
2128,MENTION1319 I would rather have men announce men's sports and women announce women's sports #lesbians? #sexistiknow,True
2169,Every boy should be tough enough to defend himself in a fight,True
2175,RT MENTION2553 If i let a girl drive my car it means something. #notsexist #justscience,True
2179,A guy will lose respect if he talks about his problems,True
2180,Housework is women’s work,True
2189,I think it's weird when guys take too many pictures of themselves.. i think its a girl thing.,True
2191,"Ultimately, a women should submit to her husbands decision",True
2197,"SO sexist. MT MENTION2835 I say men on front lines, women in interrogation. No man could trick me like a woman can!",True
2203,"🎶I need a man
A man who can act like a man🎶",True
2231,I do not agree with the strategies of the women’s liberation movement,True
2236,"MENTION4544 MENTION751 Eminem was so abused, beaten up in school. female rappers less likely to have that much bad shit",True
2241,Women are too emotional to fill high positions in government,True
2242,Swearing and obscenity are more repulsive in the speech of a woman than of a man.,True
2243,"Parents usually maintain stricter control over their daughters than their sons, and they should",True
2257,I can't deal w Peter P being a girl...,True
2258,The husband should be the head of the family,True
2262,"""Seeing as you two think this is a modelling competition and not a cooking competition, I give you two a score of -10 for your looks."" #MKR",True
2281,"And don't you dare call me sexist for generalizing women. If I had a dollar for every time I heard a woman say ""men are all the same""",True
2283,A man should never reveal worries to others,True
2295,the Hunger Games would be so much better if Katniss was a boy. He wouldn't cry all the time and actually get shit done.,True
2301,RT MENTION4332 Im not sexist but some females need to stay off the fucking roads,True
2309,Women should be cherished and protected by men.,True
2313,I firmly believe women are worse drivers than men. Minus the fact they get into less accidents.,True
2331,A man is supposed to initiate sexual contact,True
2342,a girl playing bf4? Lol no,True
2349,I will never let a woman take care of me. I will always work.,True
2354,Most women have only themselves to blame for not doing better in life,True
2364,Retention by a wife of her maiden name is selfish and fanatical,True
2379,A woman on the average needs male protection and guidance,True
2381,So fucking true!! “MENTION4235: I can't deal with women sportscasters.”,True
2390,MENTION1559 MENTION3900 Sorry I thought this was a woman. I have never heard a man speak this way. 🤔🤔🤔🤔🤔,True
2394,"No matter hwo they are treated, the majority of women seem to be bossy and nagging",True
2404,MENTION793 MENTION1141 males are far inferior no matter what kind of pants they'll get so what ever really 😏,True
2412,"RT MENTION2554 I'm not sexist, but having Thor be a woman in the new comics is an idea I'm not so with.",True
2413,"PS: please don't I totally don't care about your lady opinion. Signed, Not A Sexist",True
2422,It bothers me to see a man being told what to do by a woman,True
2433,Women are more devout individuals than men are,True
2446,"the women on ESPN are annoying as fuck. You don't know what you're talking about, shut the fuck up. #butreally",True
2453,"honestly mass majority of woman can't cut it in combat arms, it's a liability",True
2459,All of Kavanaugh's law clerks are hotter than MENTION1135 there is nothing sexier than a fem… https://t.co/f7aFQlbNfZ,True
2463,unless your name is Cheryl M I dont take what any oher female analyst says about basketball seriously,True
2467,"I just think girls that die for football are begs, it's cool to like it but don't go on like a bloke. 🙅",True
2473,females are by far the sexier sex,True
2484,Many women have a quality of purity that few men possess.,True
2489,"Lads should never have long fingernails, that shit should never happen",True
2498,The best thing a mother can teach her daughter is what it means to be a girl,True
2505,RT MENTION3429 Do men pretend to give birth? No? Then women should stop pretending to make a difference in politics.,True
2533,"Being a #Woman is Terribly Difficult Task, Since it Consists Principally in Dealing With #Men.
.
#suspendjavedlatif
#RIPBIG
#womensday
Enem",True
2536,I despise female comedians and female rappers,True
2544,A wife shouldn’t contradict her husband in public,True
2546,"Male coworker during brainstorm: ""I'd rather hear a male dr talk about sports injuries"" #youSexist",True
2549,Women are incomplete without men,True
2550,Women usually say no (sexually) when they really mean yes,True
2556,There is nothing a man of good sense dreads in a wife so much as her having more sense than himself. - Henry F #ALDUBxDTBYAparisyon,True
2566,I like a man who refuses to let me touch a door handle or a gas pump when he's with me 💕,True
2572,#QuestionsForMen #WomenAgainstFeminism Another one who only wants to hear herself talk. http://t.co/I9gvXqZQj1,True
2573,Men are more willing to take risks than women,True
2575,I hate when women wear pants suits.,True
2587,Children do lack depth of analysis MENTION4013 I don't want to listen to a girl announcer when I'm watching the Iowa game. #sorry #notsexist,True
2592,MENTION2692 I prefer male voices. Needs to be offset with a female though. Seems to work in afternoons.,True
2593,watching women football is hilarious,True
2600,"If a guy pays for a girl's meal he was taught right, but if a girl EXPECTS him to pay for her meal she was taught wrong.",True
2604,A husband has the right to expect his wife to be obliging and dutiful at all times,True
2615,"""you're abnormally tall for a girl""",True
2616,Feminists are too visionary for a practical world,True
2621,Hillary is still a woman.  She is wired to nurture.  Wired to resolve conflict instead of promoting conflict.,True
2628,"""Don't women shouldn't hold jobs in anything"" MENTION2927",True
2631,"Women at #Augusta is stupid. that is a tradition. Are either women competitive golfers? No,Jus felt ""discriminated""",True
2633,"MENTION1009 and ""you're a woman and you don't equate to shit bc you aren't a man and you can't do anything as good as a man ever will""",True
2635,Men are naturally more capable than women in financial matters,True
2639,It goes against nature to place women in positions of authority over men,True
2650,Go ahead and I miss female flight attendants on Hawaiian Airlines.,True
2652,Men should not ask to be held,True
2653,She started punching him like a man 😭😭😂😂 https://t.co/2W9pQ8CScX,True
2666,MENTION3276 MENTION1591 there is something really sexy about seeing a hot woman handle a gun,True
2670,"Boys with stretchers = hot, girls with stretchers = foul, idk what it is, girls look weird with them #unpopularopinion",True
2678,"In accompanying a lady somewhere at night, a gentleman should never fail to offer his arm",True
2679,I get annoyed by women anchors on SportsCenter,True
2685,Most men yearn for spontaneous sex that requires little conscious effort,True
2690,I think DJing looks awesome on girls negl.,True
2692,"MENTION3080 Shoddy organizing, basically. Also, if you're a hot chick you get all you want. it's the truth.",True
2693,"I find drunk men absolutely repulsive. Drunk women, on the other hand, absolutely hilarious!!",True
2697,Men will always fight to have greater control in society than women,True
2700,"""she parties like a man but loves like a woman""",True
2703,Women tend to give up more easily than men do,True
2706,I just cannot take women's basketball seriously,True
2733,MENTION1792 but I'd rather watch 2 no name welterweights than Layla A in her prime. Not sexist but men & women compete at different lvls,True
2740,And you all can I am uncomfortable with women beating the snot out of each other.,True
